---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;5;5;Investor;8;10;16;;;;;;8;30;19;;;;;;;;;;;;;;;;0;;14;Observation;317;0;0;0.6666667;16
8;18;5;Third Party;8;0;16;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;14;Observation;330;0;0.6666666;0.6666667;16
8;3;6;Third Party;8;0;16;;;;;;30;30;1;;;;;;;;;;;;;;;;0;;14;Observation;315;0;0.6666666;0.6666667;16
8;2;6;Trustee;8;0;16;;;;;;30;2;1;;;;;;;;;;;;;;;;0;;14;Observation;314;0;0;0.6666667;16
8;4;6;Investor;8;15;16;;;;;;3;30;2;;;;;;;;;;;;;;;;0;;14;Observation;316;0;0;0.6666667;16
9;16;1;Investor;5;8;6;;;;;;4;30;9;;;;;;;;;;;;;;;;0;;14;Observation;328;0;0;0.4;9
9;3;1;Third Party;5;0;6;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;14;Observation;315;0;0.4;0.4;16
9;6;1;Trustee;5;0;6;;;;;;30;12;0;;;;;;;;;;;;;;;;0;;14;Observation;318;0;0;0.4;17
9;17;2;Third Party;8;0;0;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;14;Observation;329;0;0;0;16
9;2;2;Trustee;8;0;0;;;;;;30;15;1;;;;;;;;;;;;;;;;0;;14;Observation;314;0;0;0;32
9;5;2;Investor;8;10;0;;;;;;16;30;10;;;;;;;;;;;;;;;;0;;14;Observation;317;0;0;0;0
9;9;3;Trustee;8;0;16;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;14;Observation;321;0;0;0.6666667;16
9;8;3;Investor;8;9;16;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;14;Observation;320;0;0;0.6666667;16
9;10;3;Third Party;8;0;16;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;14;Observation;322;0;0.6666666;0.6666667;16
9;4;4;Investor;8;15;16;;;;;;2;30;1;;;;;;;;;;;;;;;;0;;14;Observation;316;0;0;0.6666667;16
9;12;4;Third Party;8;0;16;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;14;Observation;324;0;0.6666666;0.6666667;16
9;15;4;Trustee;8;0;16;;;;;;30;3;0;;;;;;;;;;;;;;;;0;;14;Observation;327;0;0;0.6666667;16
9;11;5;Investor;8;16;12;;;;;;3;30;16;;;;;;;;;;;;;;;;0;;14;Observation;323;0;0;0.5;12
9;13;5;Trustee;8;0;12;;;;;;30;15;3;;;;;;;;;;;;;;;;0;;14;Observation;325;0;0;0.5;20
9;7;5;Third Party;8;0;12;;;;;;30;30;17;;;;;;;;;;;;;;;;0;;14;Observation;319;0;0.5;0.5;16
9;1;6;Trustee;7;0;11;;;;;;30;28;26;;;;;;;;;;;;;;;;0;;14;Observation;313;0;0;0.5238096;18
9;18;6;Third Party;7;0;11;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;14;Observation;330;0;0.5238095;0.5238096;16
9;14;6;Investor;7;10;11;;;;;;6;30;3;;;;;;;;;;;;;;;;0;;14;Observation;326;0;0;0.5238096;12
10;3;1;Third Party;8;0;1;;;;;;30;30;7;;;;;;;;;;;;;;;;0;;14;Observation;315;0;0.0416667;0.0416667;16
10;14;1;Investor;8;15;1;;;;;;5;30;7;;;;;;;;;;;;;;;;0;;14;Observation;326;0;0;0.0416667;1
10;2;1;Trustee;8;0;1;;;;;;30;3;4;;;;;;;;;;;;;;;;0;;14;Observation;314;0;0;0.0416667;31
10;8;2;Investor;8;0;14;;;;;;12;30;15;;;;;;;;;;;;;;;;0;;14;Observation;320;0;0;0.5833333;14
10;7;2;Third Party;8;0;14;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;14;Observation;319;0;0.5833333;0.5833333;16
10;13;2;Trustee;8;0;14;;;;;;30;7;4;;;;;;;;;;;;;;;;0;;14;Observation;325;0;0;0.5833333;18
10;18;3;Third Party;6;0;8;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;14;Observation;330;0;0.4444444;0.4444444;16
10;1;3;Trustee;6;0;8;;;;;;30;27;25;;;;;;;;;;;;;;;;0;;14;Observation;313;0;0;0.4444444;18
10;16;3;Investor;6;10;8;;;;;;10;30;12;;;;;;;;;;;;;;;;0;;14;Observation;328;0;0;0.4444444;10
10;4;4;Investor;8;15;9;;;;;;4;30;2;;;;;;;;;;;;;;;;0;;14;Observation;316;0;0;0.375;9
10;6;4;Trustee;8;0;9;;;;;;30;5;1;;;;;;;;;;;;;;;;0;;14;Observation;318;0;0;0.375;23
10;17;4;Third Party;8;0;9;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;14;Observation;329;0;0.375;0.375;16
10;12;5;Third Party;8;0;16;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;14;Observation;324;0;0.6666666;0.6666667;16
10;15;5;Trustee;8;0;16;;;;;;30;3;1;;;;;;;;;;;;;;;;0;;14;Observation;327;0;0;0.6666667;16
10;11;5;Investor;8;8;16;;;;;;4;30;4;;;;;;;;;;;;;;;;0;;14;Observation;323;0;0;0.6666667;16
10;10;6;Third Party;8;0;16;;;;;;30;30;1;;;;;;;;;;;;;;;;0;;14;Observation;322;0;0.6666666;0.6666667;16
10;5;6;Investor;8;10;16;;;;;;4;30;6;;;;;;;;;;;;;;;;0;;14;Observation;317;0;0;0.6666667;16
10;9;6;Trustee;8;0;16;;;;;;30;5;1;;;;;;;;;;;;;;;;0;;14;Observation;321;0;0;0.6666667;16
1;10;1;Investor;8;16;12;;;;;;15;30;8;;;;;;;;;;;;;;;;0;;15;Observation;346;0;;0.5;12
1;8;1;Third Party;8;0;12;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;;0.5;16
1;17;1;Trustee;8;0;12;;;;;;30;24;8;;;;;;;;;;;;;;;;0;;15;Observation;353;0;;0.5;20
1;18;2;Third Party;8;0;0;;;;;;30;30;20;;;;;;;;;;;;;;;;0;;15;Observation;354;0;;0;16
1;15;2;Investor;8;16;0;;;;;;8;30;5;;;;;;;;;;;;;;;;0;;15;Observation;351;0;;0;0
1;2;2;Trustee;8;0;0;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;338;0;;0;32
1;5;3;Third Party;8;0;16;;;;;;30;30;12;;;;;;;;;;;;;;;;0;;15;Observation;341;0;;0.6666667;16
1;11;3;Trustee;8;0;16;;;;;;30;8;3;;;;;;;;;;;;;;;;0;;15;Observation;347;0;;0.6666667;16
1;1;3;Investor;8;14;16;;;;;;21;30;12;;;;;;;;;;;;;;;;0;;15;Observation;337;0;;0.6666667;16
1;14;4;Investor;3;5;4;;;;;;12;30;11;;;;;;;;;;;;;;;;0;;15;Observation;350;0;;0.4444444;9
1;4;4;Third Party;3;0;4;;;;;;30;30;8;;;;;;;;;;;;;;;;0;;15;Observation;340;0;;0.4444444;16
1;9;4;Trustee;3;0;4;;;;;;30;24;8;;;;;;;;;;;;;;;;0;;15;Observation;345;0;;0.4444444;13
1;12;5;Third Party;4;0;4;;;;;;30;30;8;;;;;;;;;;;;;;;;0;;15;Observation;348;0;;0.3333333;16
1;13;5;Investor;4;3;4;;;;;;12;30;5;;;;;;;;;;;;;;;;0;;15;Observation;349;0;;0.3333333;8
1;6;5;Trustee;4;0;4;;;;;;30;13;3;;;;;;;;;;;;;;;;0;;15;Observation;342;0;;0.3333333;16
1;7;6;Third Party;6;0;4;;;;;;30;30;12;;;;;;;;;;;;;;;;0;;15;Observation;343;0;;0.2222222;16
1;16;6;Trustee;6;0;4;;;;;;30;12;5;;;;;;;;;;;;;;;;0;;15;Observation;352;0;;0.2222222;22
1;3;6;Investor;6;12;4;;;;;;8;30;5;;;;;;;;;;;;;;;;0;;15;Observation;339;0;;0.2222222;6
2;13;1;Investor;5;5;5;;;;;;11;30;4;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.3333333;8
2;8;1;Third Party;5;0;5;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.3333333;0.3333333;16
2;2;1;Trustee;5;0;5;;;;;;30;14;6;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.3333333;18
2;14;2;Investor;3;5;4;;;;;;21;30;15;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.4444444;9
2;12;2;Third Party;3;0;4;;;;;;30;30;10;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.4444444;0.4444444;16
2;6;2;Trustee;3;0;4;;;;;;30;6;2;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.4444444;13
2;7;3;Third Party;8;0;12;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.5;0.5;16
2;17;3;Trustee;8;0;12;;;;;;30;9;2;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.5;20
2;1;3;Investor;8;16;12;;;;;;16;30;3;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.5;12
2;5;4;Third Party;2;0;2;;;;;;30;30;16;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.3333333;0.3333333;16
2;11;4;Trustee;2;0;2;;;;;;30;26;1;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.3333333;12
2;3;4;Investor;2;1;2;;;;;;13;30;4;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0.3333333;8
2;10;5;Investor;8;16;15;;;;;;10;30;5;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.625;15
2;9;5;Trustee;8;0;15;;;;;;30;23;4;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.625;17
2;4;5;Third Party;8;0;15;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.625;0.625;16
2;16;6;Trustee;8;0;6;;;;;;30;7;2;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0.25;26
2;15;6;Investor;8;16;6;;;;;;7;30;5;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.25;6
2;18;6;Third Party;8;0;6;;;;;;30;30;6;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.25;0.25;16
3;12;1;Third Party;0;0;0;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0;0;16
3;17;1;Trustee;0;0;0;;;;;;30;17;19;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0;8
3;15;1;Investor;0;8;0;;;;;;8;30;5;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0;8
3;10;2;Investor;8;16;6;;;;;;7;30;6;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.25;6
3;16;2;Trustee;8;0;6;;;;;;30;7;1;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0.25;26
3;5;2;Third Party;8;0;6;;;;;;30;30;6;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.25;0.25;16
3;9;3;Trustee;2;0;3;;;;;;30;18;8;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.5;11
3;8;3;Third Party;2;0;3;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.5;0.5;16
3;3;3;Investor;2;1;3;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0.5;9
3;6;4;Trustee;8;0;16;;;;;;30;9;3;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.6666667;16
3;18;4;Third Party;8;0;16;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.6666666;0.6666667;16
3;14;4;Investor;8;12;16;;;;;;13;30;8;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.6666667;16
3;4;5;Third Party;8;0;16;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.6666666;0.6666667;16
3;11;5;Trustee;8;0;16;;;;;;30;3;2;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.6666667;16
3;1;5;Investor;8;14;16;;;;;;6;30;1;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.6666667;16
3;13;6;Investor;4;4;6;;;;;;4;30;3;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.5;10
3;2;6;Trustee;4;0;6;;;;;;30;11;5;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.5;14
3;7;6;Third Party;4;0;6;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.5;0.5;16
4;8;1;Third Party;4;0;5;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.4166667;0.4166667;16
4;6;1;Trustee;4;0;5;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.4166667;15
4;13;1;Investor;4;5;5;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.4166667;9
4;12;2;Third Party;8;0;8;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.3333333;0.3333333;16
4;1;2;Investor;8;15;8;;;;;;3;30;2;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.3333333;8
4;2;2;Trustee;8;0;8;;;;;;30;20;2;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.3333333;24
4;10;3;Investor;8;16;10;;;;;;8;30;3;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.4166667;10
4;5;3;Third Party;8;0;10;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.4166667;0.4166667;16
4;17;3;Trustee;8;0;10;;;;;;30;31;15;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.4166667;22
4;11;4;Trustee;4;0;4;;;;;;30;15;3;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.3333333;16
4;4;4;Third Party;4;0;4;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.3333333;0.3333333;16
4;15;4;Investor;4;6;4;;;;;;13;30;5;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.3333333;8
4;18;5;Third Party;3;0;2;;;;;;30;30;15;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.2222222;0.2222222;16
4;3;5;Investor;3;2;2;;;;;;3;30;1;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0.2222222;7
4;16;5;Trustee;3;0;2;;;;;;30;11;4;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0.2222222;15
4;9;6;Trustee;8;0;12;;;;;;30;15;7;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.5;20
4;14;6;Investor;8;16;12;;;;;;18;30;7;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.5;12
4;7;6;Third Party;8;0;12;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.5;0.5;16
5;7;1;Third Party;8;0;6;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.25;0.25;16
5;16;1;Trustee;8;0;6;;;;;;30;4;9;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0.25;26
5;14;1;Investor;8;14;6;;;;;;8;30;6;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.25;6
5;6;2;Trustee;8;0;10;;;;;;30;8;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.4166667;22
5;1;2;Investor;8;15;10;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.4166667;10
5;8;2;Third Party;8;0;10;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.4166667;0.4166667;16
5;12;3;Third Party;2;0;3;;;;;;30;30;6;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.5;0.5;16
5;3;3;Investor;2;2;3;;;;;;4;30;2;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0.5;9
5;2;3;Trustee;2;0;3;;;;;;30;14;4;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.5;11
5;5;4;Third Party;8;0;16;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.6666666;0.6666667;16
5;11;4;Trustee;8;0;16;;;;;;30;5;1;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.6666667;16
5;15;4;Investor;8;16;16;;;;;;11;30;3;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.6666667;16
5;10;5;Investor;8;16;10;;;;;;7;30;3;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.4166667;10
5;17;5;Trustee;8;0;10;;;;;;30;11;4;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.4166667;22
5;4;5;Third Party;8;0;10;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.4166667;0.4166667;16
5;9;6;Trustee;5;0;7;;;;;;30;8;3;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.4666667;16
5;18;6;Third Party;5;0;7;;;;;;30;30;6;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.4666667;0.4666667;16
5;13;6;Investor;5;5;7;;;;;;7;30;2;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.4666667;10
6;4;1;Third Party;2;0;0;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0;0;16
6;11;1;Trustee;2;0;0;;;;;;30;9;2;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0;14
6;3;1;Investor;2;2;0;;;;;;3;30;2;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0;6
6;10;2;Investor;8;16;12;;;;;;7;30;5;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.5;12
6;6;2;Trustee;8;0;12;;;;;;30;7;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.5;20
6;12;2;Third Party;8;0;12;;;;;;30;30;6;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.5;0.5;16
6;5;3;Third Party;8;0;12;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.5;0.5;16
6;9;3;Trustee;8;0;12;;;;;;30;18;4;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.5;20
6;15;3;Investor;8;16;12;;;;;;3;30;5;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.5;12
6;7;4;Third Party;8;0;6;;;;;;30;30;1;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.25;0.25;16
6;14;4;Investor;8;0;6;;;;;;11;30;5;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.25;6
6;16;4;Trustee;8;0;6;;;;;;30;2;1;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0.25;26
6;8;5;Third Party;8;0;10;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.4166667;0.4166667;16
6;1;5;Investor;8;15;10;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.4166667;10
6;2;5;Trustee;8;0;10;;;;;;30;13;4;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.4166667;22
6;13;6;Investor;5;6;6;;;;;;5;30;4;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.4;9
6;17;6;Trustee;5;0;6;;;;;;30;23;18;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.4;17
6;18;6;Third Party;5;0;6;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.4;0.4;16
7;14;1;Investor;8;8;10;;;;;;28;30;4;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.4166667;10
7;17;1;Trustee;8;0;10;;;;;;30;6;5;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.4166667;22
7;18;1;Third Party;8;0;10;;;;;;30;30;8;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.4166667;0.4166667;16
7;9;2;Trustee;8;0;0;;;;;;30;16;2;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0;32
7;4;2;Third Party;8;0;0;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0;0;16
7;15;2;Investor;8;16;0;;;;;;4;30;3;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0;0
7;12;3;Third Party;5;0;6;;;;;;30;30;9;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.4;0.4;16
7;13;3;Investor;5;6;6;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.4;9
7;2;3;Trustee;5;0;6;;;;;;30;16;3;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.4;17
7;11;4;Trustee;8;0;16;;;;;;30;11;1;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.6666667;16
7;7;4;Third Party;8;0;16;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0.6666666;0.6666667;16
7;10;4;Investor;8;16;16;;;;;;6;30;5;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.6666667;16
7;16;5;Trustee;8;0;0;;;;;;30;3;11;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0;32
7;5;5;Third Party;8;0;0;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0;0;16
7;1;5;Investor;8;14;0;;;;;;7;30;4;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0;0
7;6;6;Trustee;0;0;0;;;;;;30;3;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0;8
7;8;6;Third Party;0;0;0;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0;0;16
7;3;6;Investor;0;0;0;;;;;;4;30;2;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0;8
8;12;1;Third Party;8;0;16;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0.6666666;0.6666667;16
8;11;1;Trustee;8;0;16;;;;;;30;3;2;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0.6666667;16
8;1;1;Investor;8;14;16;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.6666667;16
8;15;2;Investor;6;12;10;;;;;;4;30;3;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.5555556;12
8;9;2;Trustee;6;0;10;;;;;;30;10;4;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.5555556;16
8;5;2;Third Party;6;0;10;;;;;;30;30;4;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.5555556;0.5555556;16
8;3;3;Investor;0;0;0;;;;;;4;30;0;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0;8
8;7;3;Third Party;0;0;0;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0;0;16
8;16;3;Trustee;0;0;0;;;;;;30;2;4;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0;8
8;13;4;Investor;6;7;6;;;;;;5;30;3;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0.3333333;8
8;4;4;Third Party;6;0;6;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.3333333;0.3333333;16
8;17;4;Trustee;6;0;6;;;;;;30;22;4;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.3333333;20
8;8;5;Third Party;8;0;12;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.5;0.5;16
8;6;5;Trustee;8;0;12;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0.5;20
8;14;5;Investor;8;8;12;;;;;;10;30;13;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.5;12
8;10;6;Investor;8;16;10;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.4166667;10
8;18;6;Third Party;8;0;10;;;;;;30;30;3;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.4166667;0.4166667;16
8;2;6;Trustee;8;0;10;;;;;;30;15;3;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.4166667;22
9;1;1;Investor;8;15;10;;;;;;6;30;8;;;;;;;;;;;;;;;;0;;15;Observation;337;0;0;0.4166667;10
9;2;1;Trustee;8;0;10;;;;;;30;6;3;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.4166667;22
9;4;1;Third Party;8;0;10;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;340;0;0.4166667;0.4166667;16
9;11;2;Trustee;0;0;0;;;;;;30;6;1;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0;8
9;3;2;Investor;0;0;0;;;;;;4;30;0;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0;8
9;12;2;Third Party;0;0;0;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;348;0;0;0;16
9;18;3;Third Party;6;0;6;;;;;;30;30;5;;;;;;;;;;;;;;;;0;;15;Observation;354;0;0.3333333;0.3333333;16
9;17;3;Trustee;6;0;6;;;;;;30;9;0;;;;;;;;;;;;;;;;0;;15;Observation;353;0;0;0.3333333;20
9;15;3;Investor;6;9;6;;;;;;5;30;4;;;;;;;;;;;;;;;;0;;15;Observation;351;0;0;0.3333333;8
9;10;4;Investor;8;16;0;;;;;;6;30;5;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0;0
9;16;4;Trustee;8;0;0;;;;;;30;2;1;;;;;;;;;;;;;;;;0;;15;Observation;352;0;0;0;32
9;8;4;Third Party;8;0;0;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0;0;16
9;5;5;Third Party;8;0;14;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;341;0;0.5833333;0.5833333;16
9;9;5;Trustee;8;0;14;;;;;;30;7;3;;;;;;;;;;;;;;;;0;;15;Observation;345;0;0;0.5833333;18
9;14;5;Investor;8;8;14;;;;;;5;30;4;;;;;;;;;;;;;;;;0;;15;Observation;350;0;0;0.5833333;14
9;6;6;Trustee;6;0;0;;;;;;30;6;1;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0;26
9;7;6;Third Party;6;0;0;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0;0;16
9;13;6;Investor;6;6;0;;;;;;6;30;2;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0;2
10;13;1;Investor;5;5;0;;;;;;3;30;1;;;;;;;;;;;;;;;;0;;15;Observation;349;0;0;0;3
10;7;1;Third Party;5;0;0;;;;;;30;30;2;;;;;;;;;;;;;;;;0;;15;Observation;343;0;0;0;16
10;11;1;Trustee;5;0;0;;;;;;30;27;0;;;;;;;;;;;;;;;;0;;15;Observation;347;0;0;0;23
10;10;2;Investor;8;16;10;;;;;;5;30;2;;;;;;;;;;;;;;;;0;;15;Observation;346;0;0;0.4166667;10
10;8;2;Third Party;8;0;10;;;;;;30;30;30;;;;;;;;;;;;;;;;0;;15;Observation;344;0;0.4166667;0.4166667;16
10;2;2;Trustee;8;0;10;;;;;;30;4;2;;;;;;;;;;;;;;;;0;;15;Observation;338;0;0;0.4166667;22
10;6;3;Trustee;0;0;0;;;;;;30;3;2;;;;;;;;;;;;;;;;0;;15;Observation;342;0;0;0;8
10;3;3;Investor;0;0;0;;;;;;3;30;2;;;;;;;;;;;;;;;;0;;15;Observation;339;0;0;0;8
