---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;storage;display;value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
variable;name;type;format;label;variable;label;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
---------------------------------------------------------------------------------------------;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;21;5;Investor;8;16;16;;;;;;15;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.6666667;16
1;18;5;Trustee;8;0;16;;;;;;30;9;5;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;16
1;10;6;Trustee;3;0;6;;;;;;30;18;12;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.6666667;11
1;3;6;Investor;3;4;6;;;;;;46;30;20;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;11
2;4;1;Trustee;3;0;8;;;;;;30;29;5;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.8888889;9
2;3;1;Investor;3;3;8;;;;;;20;30;7;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.8888889;13
2;21;2;Investor;8;16;16;;;;;;11;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.6666667;16
2;11;2;Trustee;8;0;16;;;;;;30;20;2;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;16
2;10;3;Trustee;4;0;6;;;;;;30;12;6;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.5;14
2;9;3;Investor;4;3;6;;;;;;13;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.5;10
2;8;4;Trustee;3;0;5;;;;;;30;12;7;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.5555556;12
2;20;4;Investor;3;8;5;;;;;;29;30;7;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.5555556;10
2;12;5;Investor;8;14;16;;;;;;12;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
2;1;5;Trustee;8;0;16;;;;;;30;27;2;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.6666667;16
2;19;6;Investor;2;5;4;;;;;;15;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.6666667;10
2;18;6;Trustee;2;0;4;;;;;;30;14;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;10
3;8;1;Trustee;5;0;7;;;;;;30;27;3;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.4666667;16
3;9;1;Investor;5;4;7;;;;;;12;30;6;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.4666667;10
3;3;2;Investor;3;2;4;;;;;;23;30;7;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.4444444;9
3;1;2;Trustee;3;0;4;;;;;;30;21;3;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.4444444;13
3;19;3;Investor;3;6;6;;;;;;13;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.6666667;11
3;11;3;Trustee;3;0;6;;;;;;30;31;2;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;11
3;18;4;Trustee;8;0;16;;;;;;30;5;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;16
3;21;4;Investor;8;16;16;;;;;;9;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.6666667;16
3;20;5;Investor;6;14;12;;;;;;27;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.6666667;14
3;4;5;Trustee;6;0;12;;;;;;30;8;7;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.6666667;14
3;10;6;Trustee;8;0;10;;;;;;30;14;10;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4166667;22
3;12;6;Investor;8;15;10;;;;;;5;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.4166667;10
4;21;1;Investor;8;16;12;;;;;;6;30;20;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.5;12
4;4;1;Trustee;8;0;12;;;;;;30;5;5;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.5;20
4;12;2;Investor;8;15;16;;;;;;5;30;1;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
4;1;2;Trustee;8;0;16;;;;;;30;19;3;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.6666667;16
4;18;3;Trustee;3;0;6;;;;;;30;8;0;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;11
4;3;3;Investor;3;5;6;;;;;;28;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;11
4;20;4;Investor;4;11;5;;;;;;12;30;6;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.4166667;9
4;10;4;Trustee;4;0;5;;;;;;30;9;5;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4166667;15
4;9;5;Investor;2;6;3;;;;;;16;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.5;9
4;8;5;Trustee;2;0;3;;;;;;30;15;1;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.5;11
4;11;6;Trustee;2;0;4;;;;;;30;22;2;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;10
4;19;6;Investor;2;5;4;;;;;;9;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.6666667;10
5;11;1;Trustee;5;0;10;;;;;;30;28;0;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;13
5;3;1;Investor;5;7;10;;;;;;15;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;13
5;1;2;Trustee;8;0;16;;;;;;30;13;2;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.6666667;16
5;21;2;Investor;8;16;16;;;;;;8;30;7;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.6666667;16
5;18;3;Trustee;1;0;2;;;;;;30;5;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;9
5;20;3;Investor;1;10;2;;;;;;10;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.6666667;9
5;10;4;Trustee;8;0;11;;;;;;30;19;14;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4583333;21
5;12;4;Investor;8;15;11;;;;;;6;30;1;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.4583333;11
5;8;5;Trustee;3;0;4;;;;;;30;9;5;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.4444444;13
5;9;5;Investor;3;4;4;;;;;;11;30;8;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.4444444;9
5;19;6;Investor;6;15;10;;;;;;12;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.5555556;12
5;4;6;Trustee;6;0;10;;;;;;30;32;3;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.5555556;16
6;10;1;Trustee;3;0;4;;;;;;30;6;10;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4444444;13
6;3;1;Investor;3;8;4;;;;;;12;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.4444444;9
6;8;2;Trustee;8;0;15;;;;;;30;21;9;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.625;17
6;21;2;Investor;8;16;15;;;;;;7;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.625;15
6;18;3;Trustee;3;0;6;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;11
6;20;3;Investor;3;10;6;;;;;;21;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.6666667;11
6;4;4;Trustee;4;0;8;;;;;;30;14;1;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.6666667;12
6;9;4;Investor;4;4;8;;;;;;5;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.6666667;12
6;12;5;Investor;8;15;16;;;;;;15;30;4;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
6;11;5;Trustee;8;0;16;;;;;;30;6;0;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;16
6;1;6;Trustee;5;0;7;;;;;;30;29;1;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.4666667;16
6;19;6;Investor;5;12;7;;;;;;7;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.4666667;10
7;9;1;Investor;8;8;16;;;;;;7;30;5;;;;;;;;;;;;;;;;0;;6;Baseline;129;0;;0.6666667;16
7;4;1;Trustee;8;0;16;;;;;;30;8;6;;;;;;;;;;;;;;;;0;;6;Baseline;124;0;;0.6666667;16
7;1;2;Trustee;3;0;4;;;;;;30;17;4;;;;;;;;;;;;;;;;0;;6;Baseline;121;0;;0.4444444;13
7;20;2;Investor;3;10;4;;;;;;24;30;9;;;;;;;;;;;;;;;;0;;6;Baseline;140;0;;0.4444444;9
7;3;3;Investor;2;4;4;;;;;;15;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;123;0;;0.6666667;10
7;11;3;Trustee;2;0;4;;;;;;30;7;1;;;;;;;;;;;;;;;;0;;6;Baseline;131;0;;0.6666667;10
7;21;4;Investor;8;16;15;;;;;;26;30;9;;;;;;;;;;;;;;;;0;;6;Baseline;141;0;;0.625;15
7;8;4;Trustee;8;0;15;;;;;;30;12;1;;;;;;;;;;;;;;;;0;;6;Baseline;128;0;;0.625;17
7;10;5;Trustee;5;0;6;;;;;;30;19;8;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.4;17
7;19;5;Investor;5;12;6;;;;;;7;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.4;9
7;18;6;Trustee;8;0;16;;;;;;30;4;1;;;;;;;;;;;;;;;;0;;6;Baseline;138;0;;0.6666667;16
7;12;6;Investor;8;15;16;;;;;;7;30;2;;;;;;;;;;;;;;;;0;;6;Baseline;132;0;;0.6666667;16
8;19;1;Investor;4;10;6;;;;;;8;30;3;;;;;;;;;;;;;;;;0;;6;Baseline;139;0;;0.5;10
8;10;1;Trustee;4;0;6;;;;;;30;13;9;;;;;;;;;;;;;;;;0;;6;Baseline;130;0;;0.5;14
