1;2;3;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;31;1;20;27;1;3.433987;20;1;2;PDSH3010;1;0;1220;;;1;1;;;;0.0384615;0;1;1
1;3;2;10;10;0;0;30;1;1;0;0;1;1;1;0;0;;47;0;10;27;1;3.850147;20;1;3;PDSH3010;1;0;1350;;;1;0;;;;0.0769231;0;0;0
1;4;2;10;10;0;0;30;1;1;0;0;1;1;1;0;0;;41;0;10;27;1;3.713572;20;1;4;PDSH3010;1;0;1460;;;1;0;;;;0;1;0;1
1;5;4;30;30;0;0;30;1;1;0;0;1;1;1;0;0;;53;1;0;27;1;3.970292;20;1;5;PDSH3010;1;0;1190;;;0;0;;;;0.2307692;0;0;1
1;6;5;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;41;1;20;27;1;3.713572;20;1;6;PDSH3010;1;0;1300;;;1;1;;;;0.1153846;0;1;1
1;7;1;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;42;1;20;27;1;3.73767;20;1;7;PDSH3010;1;0;1240;;;1;1;;;;0.0384615;1;1;1
1;8;3;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;41;1;20;27;1;3.713572;20;1;8;PDSH3010;1;0;1240;;;1;1;;;;0.5;1;1;1
1;9;1;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;31;1;20;27;1;3.433987;20;1;9;PDSH3010;1;0;1280;;;1;1;;;;0.0384615;1;1;0
1;10;5;20;20;0;0;30;1;1;0;0;1;1;1;0;1;;38;1;20;27;1;3.637586;20;1;10;PDSH3010;1;0;1370;;;1;1;;;;0.0384615;1;1;1
2;1;1;30;30;0;0;30;1;1;0;0;2;1;1;0;0;;8;1;0;27;2;2.079442;20;1;1;PDSH3010;1;0;1180;;;0;0;1;1;0;0.2692308;;1;1
2;2;4;0;20;0;0;30;1;1;0;0;2;1;1;0;1;;10;0;30;27;2;2.302585;20;1;2;PDSH3010;1;0;1220;;;0;0;0;0;0;0.0384615;;1;1
2;3;2;10;20;0;0;30;1;1;0;0;2;1;1;0;0;;20;0;10;27;2;2.995732;20;1;3;PDSH3010;1;0;1350;;;1;0;0;0;0;0.0769231;;0;0
2;4;4;30;40;0;0;30;1;1;0;0;2;1;1;0;0;;9;1;0;27;2;2.197225;20;1;4;PDSH3010;1;0;1460;;;0;0;0;0;0;0;;0;1
2;5;5;30;60;0;0;30;1;1;0;0;2;1;1;0;0;;14;1;0;27;2;2.639057;20;1;5;PDSH3010;1;0;1190;;;0;0;0;0;0;0.2307692;;0;1
2;6;3;20;40;0;0;30;1;1;0;0;2;1;1;0;1;;15;1;20;27;2;2.70805;20;1;6;PDSH3010;1;0;1300;;;1;1;0;0;0;0.1153846;;1;1
2;7;3;20;40;0;0;30;1;1;0;0;2;1;1;0;1;;8;1;20;27;2;2.079442;20;1;7;PDSH3010;1;0;1240;;;1;1;0;0;0;0.0384615;;1;1
2;8;2;10;30;0;0;30;1;1;0;0;2;1;1;0;0;;12;0;10;27;2;2.484907;20;1;8;PDSH3010;1;0;1240;;;1;0;1;1;0;0.5;;1;1
2;9;1;0;20;0;0;30;1;1;0;0;2;1;1;0;1;;14;0;30;27;2;2.639057;20;1;9;PDSH3010;1;0;1280;;;0;0;0;0;0;0.0384615;;1;0
2;10;5;0;20;0;0;30;1;1;0;0;2;1;1;0;1;;8;0;30;27;2;2.079442;20;1;10;PDSH3010;1;0;1370;;;0;0;0;0;0;0.0384615;;1;1
3;1;3;20;50;0;0;30;1;2;1;0;1;2;1;0;1;;6;1;20;27;3;1.791759;20;1;1;PDSH3010;1;0;1180;;3;1;1;1;0;1;0.2692308;;1;1
3;2;1;10;30;0;0;30;1;2;1;0;1;2;1;0;0;;15;0;10;27;3;2.70805;20;1;2;PDSH3010;1;0;1220;;3;1;0;1;1;0;0.0384615;;1;1
3;3;5;30;50;0;0;30;1;2;1;0;1;2;1;0;0;;13;1;0;27;3;2.564949;20;1;3;PDSH3010;1;0;1350;;3;0;0;0;0;0;0.0769231;;0;0
3;4;2;30;70;0;0;30;1;2;1;0;1;2;1;0;0;;9;1;0;27;3;2.197225;20;1;4;PDSH3010;1;0;1460;;3;0;0;0;0;0;0;;0;1
3;5;1;10;70;0;0;30;1;2;1;0;1;2;1;0;0;;10;0;10;27;3;2.302585;20;1;5;PDSH3010;1;0;1190;;3;1;0;0;0;0;0.2307692;;0;1
3;6;5;0;40;0;0;30;1;2;1;0;1;2;1;0;1;;8;0;30;27;3;2.079442;20;1;6;PDSH3010;1;0;1300;;3;0;0;0;0;0;0.1153846;;1;1
3;7;2;0;40;0;0;30;1;2;1;0;1;2;1;0;1;;8;0;30;27;3;2.079442;20;1;7;PDSH3010;1;0;1240;;3;0;0;0;0;0;0.0384615;;1;1
